customer_id,income,employment_status,age_band,debt_to_income,credit_history_length,existing_debt,missed_payments_12m,housing_status,region,digital_access_score,protected_group_proxy,loan_default
ECB-00061,85223.0,employed,35-49,0.325,5.5,11438.0,1,owner,Dublin,83.9,A,1
ECB-00062,18369.0,self_employed,50-64,0.267,4.4,4548.0,0,mortgage,Dublin,39.1,B,0
ECB-00063,51263.0,part_time,35-49,0.143,18.4,5375.0,0,owner,Cork,48.9,A,0
ECB-00064,31380.0,self_employed,35-49,0.369,9.7,11629.0,0,living_with_family,Dublin,65.4,A,0
ECB-00065,46158.0,employed,35-49,0.133,9.5,3197.0,1,mortgage,Rural,41.0,B,0
ECB-00066,35788.0,employed,18-24,0.373,6.9,13824.0,1,private_rent,Dublin,45.8,A,0
ECB-00067,27703.0,employed,18-24,0.177,0.0,5444.0,1,mortgage,Galway,55.4,B,1
ECB-00068,84225.0,employed,35-49,0.544,5.4,23860.0,1,mortgage,Rural,85.9,A,1
ECB-00069,107506.0,employed,65+,0.241,15.9,14072.0,1,mortgage,Rural,69.5,A,0
ECB-00070,42212.0,employed,18-24,0.189,4.5,8946.0,0,mortgage,Galway,73.8,A,0
ECB-00071,48806.0,employed,35-49,0.218,20.0,7404.0,0,mortgage,Rural,66.2,B,0
ECB-00072,29662.0,part_time,50-64,0.271,5.7,8193.0,0,mortgage,Dublin,100.0,A,1
ECB-00073,91434.0,employed,50-64,0.496,13.4,46472.0,0,mortgage,Cork,53.3,B,0
ECB-00074,18017.0,employed,35-49,0.693,12.7,7474.0,1,living_with_family,Dublin,72.3,A,0
ECB-00075,49729.0,employed,35-49,0.227,9.2,5566.0,0,mortgage,Rural,52.4,B,1
ECB-00076,33617.0,employed,35-49,0.148,10.2,3206.0,1,mortgage,Rural,44.8,A,0
ECB-00077,16152.0,self_employed,50-64,0.267,7.0,3546.0,0,owner,Dublin,89.3,A,0
ECB-00078,39647.0,employed,25-34,0.396,0.0,11736.0,1,mortgage,Dublin,62.5,A,0
ECB-00079,66409.0,part_time,65+,0.463,15.3,28908.0,0,private_rent,Cork,64.5,A,0
ECB-00080,34710.0,self_employed,18-24,0.107,6.7,2937.0,0,owner,Dublin,63.6,A,0
ECB-00081,66559.0,employed,50-64,0.138,11.5,9126.0,0,private_rent,Rural,90.4,A,0
ECB-00082,49581.0,part_time,18-24,0.722,4.8,15496.0,0,mortgage,Dublin,50.0,A,0
ECB-00083,41728.0,employed,25-34,0.514,13.5,15042.0,0,owner,Limerick,84.0,B,0
ECB-00084,49227.0,employed,18-24,0.378,0.0,6753.0,0,living_with_family,Galway,84.1,A,0
ECB-00085,19386.0,employed,35-49,0.386,16.1,3345.0,2,mortgage,Cork,30.7,B,0
ECB-00086,20946.0,part_time,25-34,0.211,3.4,2723.0,0,private_rent,Dublin,58.7,A,0
ECB-00087,63120.0,employed,25-34,0.368,7.9,24878.0,0,mortgage,Rural,81.4,B,0
ECB-00088,47921.0,employed,35-49,0.386,12.0,12102.0,0,living_with_family,Galway,97.5,A,0
ECB-00089,55012.0,employed,35-49,0.039,5.8,1226.0,0,mortgage,Cork,80.9,A,0
ECB-00090,49510.0,employed,50-64,0.255,12.4,11187.0,0,mortgage,Cork,60.9,A,0
ECB-00091,125042.0,self_employed,50-64,0.46,6.7,52552.0,1,private_rent,Rural,50.6,A,0
ECB-00092,38417.0,employed,35-49,0.479,9.1,13528.0,1,mortgage,Rural,78.2,A,0
ECB-00093,96032.0,employed,25-34,0.473,7.6,26389.0,1,mortgage,Rural,60.3,A,0
ECB-00094,44566.0,employed,25-34,0.602,5.5,15881.0,1,living_with_family,Galway,56.1,B,0
ECB-00095,99946.0,self_employed,50-64,0.38,20.2,18951.0,0,private_rent,Rural,64.0,A,0
ECB-00096,26870.0,employed,18-24,0.086,0.1,1477.0,0,private_rent,Dublin,83.9,A,0
ECB-00097,45603.0,employed,35-49,0.555,0.0,12254.0,1,private_rent,Limerick,95.5,B,0
ECB-00098,39059.0,employed,65+,0.155,9.3,5220.0,0,social_rent,Cork,70.5,A,0
ECB-00099,17378.0,unemployed,65+,0.507,14.2,9383.0,2,social_rent,Galway,52.2,A,0
ECB-00100,25461.0,unemployed,35-49,0.238,6.5,3348.0,1,private_rent,Rural,46.8,B,0
ECB-00101,49767.0,self_employed,35-49,0.462,13.8,12492.0,1,mortgage,Rural,75.0,B,0
ECB-00102,72679.0,employed,35-49,0.337,13.6,26203.0,0,owner,Cork,93.0,B,0
ECB-00103,12000.0,unemployed,50-64,0.66,6.8,6375.0,1,private_rent,Galway,81.1,B,1
ECB-00104,19964.0,part_time,18-24,0.285,0.0,5308.0,0,social_rent,Rural,71.7,A,0
ECB-00105,46969.0,self_employed,25-34,0.489,1.8,24370.0,1,mortgage,Rural,59.2,A,0
ECB-00106,45826.0,employed,35-49,0.782,8.3,31601.0,1,owner,Limerick,74.2,A,0
ECB-00107,38600.0,employed,25-34,0.544,0.4,19825.0,1,mortgage,Dublin,83.8,B,0
ECB-00108,27262.0,employed,35-49,0.242,6.6,4346.0,0,mortgage,Dublin,67.2,B,0
ECB-00109,27989.0,unemployed,25-34,0.154,15.9,4742.0,0,social_rent,Rural,66.1,A,0
ECB-00110,39605.0,employed,50-64,0.296,10.3,10697.0,1,owner,Limerick,55.6,A,0
ECB-00111,88587.0,employed,50-64,0.633,8.7,22834.0,0,private_rent,Limerick,100.0,A,1
ECB-00112,46898.0,employed,35-49,0.194,3.1,7520.0,1,private_rent,Galway,52.0,A,0
ECB-00113,56187.0,self_employed,50-64,0.265,9.4,6328.0,0,living_with_family,Cork,45.3,B,0
ECB-00114,59932.0,employed,25-34,0.541,7.2,24885.0,1,owner,Cork,71.0,A,0
ECB-00115,19951.0,part_time,35-49,0.385,9.7,3229.0,4,living_with_family,Rural,64.4,A,0
ECB-00116,30695.0,part_time,25-34,0.339,12.3,8852.0,0,private_rent,Dublin,81.4,B,0
ECB-00117,111052.0,self_employed,50-64,0.197,13.2,15651.0,0,private_rent,Limerick,87.0,A,0
ECB-00118,52220.0,employed,50-64,0.727,9.2,30100.0,1,owner,Limerick,46.1,A,0
ECB-00119,69953.0,self_employed,50-64,0.677,11.2,41161.0,1,mortgage,Rural,54.4,A,0
ECB-00120,63702.0,self_employed,50-64,0.401,5.8,14069.0,0,private_rent,Dublin,52.2,A,0
ECB-00121,53539.0,self_employed,65+,0.176,19.4,5708.0,0,mortgage,Limerick,66.1,A,0
ECB-00122,50712.0,employed,25-34,0.641,3.9,23910.0,1,mortgage,Dublin,75.7,A,0
ECB-00123,59653.0,employed,65+,0.062,12.4,2993.0,0,private_rent,Dublin,45.3,A,0
ECB-00124,65741.0,employed,35-49,0.135,14.9,9640.0,0,private_rent,Cork,71.9,A,0
ECB-00125,25375.0,employed,35-49,0.324,6.0,5197.0,0,owner,Dublin,47.7,A,0
ECB-00126,52119.0,employed,35-49,0.222,1.5,9543.0,1,mortgage,Rural,54.6,A,0
ECB-00127,38631.0,employed,25-34,0.573,6.4,24097.0,0,mortgage,Rural,39.6,B,1
ECB-00128,39097.0,employed,25-34,0.073,15.7,2653.0,0,social_rent,Dublin,70.6,A,0
ECB-00129,83549.0,self_employed,25-34,0.141,0.0,7213.0,0,living_with_family,Rural,70.6,A,0
ECB-00130,30174.0,employed,18-24,0.432,5.0,8884.0,0,mortgage,Cork,45.3,B,0
ECB-00131,12000.0,unemployed,35-49,0.225,5.2,2840.0,0,owner,Limerick,75.6,A,0
ECB-00132,66707.0,self_employed,50-64,0.082,7.6,3829.0,0,mortgage,Rural,87.0,A,0
ECB-00133,22147.0,employed,35-49,0.4,6.7,4892.0,0,mortgage,Galway,44.5,B,0
ECB-00134,19583.0,self_employed,35-49,0.172,13.5,2585.0,0,social_rent,Dublin,62.1,A,0
ECB-00135,70173.0,employed,35-49,0.599,8.8,20982.0,1,mortgage,Dublin,77.2,A,0
ECB-00136,15776.0,unemployed,35-49,0.655,13.8,8422.0,3,owner,Cork,62.9,B,1
ECB-00137,57683.0,employed,25-34,0.385,15.2,25416.0,3,owner,Rural,43.3,A,0
ECB-00138,23692.0,part_time,50-64,0.312,8.7,8308.0,0,mortgage,Galway,60.1,A,0
ECB-00139,25010.0,employed,25-34,0.378,6.6,7954.0,2,social_rent,Cork,59.5,A,1
ECB-00140,27348.0,employed,50-64,0.442,10.5,12808.0,0,private_rent,Dublin,64.9,A,1
ECB-00141,37129.0,employed,50-64,0.532,11.5,19798.0,1,private_rent,Rural,60.7,B,0
ECB-00142,12000.0,unemployed,35-49,0.49,2.5,6531.0,3,mortgage,Dublin,96.2,A,1
ECB-00143,53539.0,self_employed,50-64,0.31,9.7,17401.0,1,living_with_family,Limerick,64.2,A,0
ECB-00144,37869.0,employed,25-34,0.595,7.2,24106.0,1,mortgage,Limerick,37.1,A,0
ECB-00145,45611.0,employed,50-64,0.562,6.3,13672.0,0,social_rent,Dublin,64.6,B,0
ECB-00146,50002.0,employed,50-64,0.449,4.9,10696.0,0,social_rent,Dublin,99.5,A,0
ECB-00147,55496.0,employed,50-64,0.05,5.2,1078.0,0,mortgage,Cork,65.0,A,0
ECB-00148,58382.0,employed,35-49,0.394,15.0,20180.0,1,social_rent,Dublin,60.1,A,0
ECB-00149,39944.0,employed,50-64,0.229,6.6,10046.0,0,mortgage,Limerick,62.5,A,0
ECB-00150,31406.0,part_time,65+,0.36,19.4,12937.0,1,private_rent,Rural,62.5,A,0
ECB-00151,28935.0,part_time,35-49,0.185,9.2,5526.0,0,owner,Dublin,57.4,B,0
ECB-00152,15631.0,employed,50-64,0.587,2.6,9307.0,1,mortgage,Cork,40.7,A,0
ECB-00153,62376.0,employed,50-64,0.144,9.5,6870.0,1,mortgage,Dublin,55.9,A,1
ECB-00154,49885.0,employed,35-49,0.232,2.3,8253.0,0,owner,Dublin,66.8,A,0
ECB-00155,60103.0,self_employed,65+,0.16,16.7,8304.0,0,owner,Limerick,61.6,A,0
ECB-00156,26132.0,employed,35-49,0.191,7.4,1842.0,1,mortgage,Limerick,57.5,A,0
ECB-00157,36408.0,self_employed,35-49,0.665,12.9,23859.0,1,private_rent,Limerick,57.7,B,0
ECB-00158,17690.0,part_time,25-34,0.411,16.0,6376.0,0,mortgage,Dublin,68.8,A,0
ECB-00159,36376.0,part_time,25-34,0.655,0.0,11576.0,1,mortgage,Galway,49.0,B,0
ECB-00160,24778.0,employed,50-64,0.153,6.1,3252.0,0,living_with_family,Cork,66.3,A,0
ECB-00161,12000.0,unemployed,35-49,0.352,2.2,3506.0,0,living_with_family,Rural,76.4,A,0
ECB-00162,59305.0,employed,35-49,0.557,19.7,32391.0,1,owner,Galway,46.6,A,0
ECB-00163,35129.0,employed,25-34,0.11,6.2,3940.0,0,mortgage,Rural,73.5,A,0
ECB-00164,30706.0,employed,35-49,0.149,1.7,2523.0,0,private_rent,Dublin,48.4,A,0
ECB-00165,63112.0,employed,50-64,0.377,20.1,23814.0,1,private_rent,Cork,43.7,B,0
ECB-00166,39858.0,part_time,50-64,0.403,4.7,7961.0,0,mortgage,Limerick,51.1,B,0
ECB-00167,36009.0,part_time,18-24,0.06,0.0,1427.0,0,private_rent,Cork,87.6,B,1
ECB-00168,61486.0,employed,35-49,0.086,2.5,3917.0,0,owner,Galway,32.1,B,0
ECB-00169,14705.0,unemployed,35-49,0.716,9.2,10458.0,2,mortgage,Cork,59.6,A,0
ECB-00170,42529.0,employed,35-49,0.063,8.7,2859.0,0,private_rent,Rural,67.5,A,0
ECB-00171,34834.0,employed,35-49,0.15,4.2,1898.0,0,private_rent,Dublin,89.0,A,0
ECB-00172,45257.0,employed,35-49,0.408,6.0,17341.0,0,social_rent,Rural,98.1,B,0
ECB-00173,12870.0,unemployed,35-49,0.227,8.8,3073.0,0,owner,Cork,60.4,A,0
ECB-00174,38373.0,employed,35-49,0.16,15.4,6824.0,0,owner,Cork,77.7,A,0
ECB-00175,61081.0,employed,35-49,0.118,10.2,4062.0,0,owner,Cork,66.3,A,0
ECB-00176,79463.0,employed,35-49,0.415,5.6,16095.0,1,owner,Dublin,66.2,A,0
ECB-00177,17572.0,unemployed,50-64,0.832,7.3,10957.0,2,owner,Rural,67.9,B,0
ECB-00178,64822.0,part_time,50-64,0.03,12.5,2082.0,0,mortgage,Rural,39.5,A,0
ECB-00179,21046.0,part_time,25-34,0.263,17.2,3332.0,0,mortgage,Rural,67.1,A,0
ECB-00180,12000.0,part_time,50-64,0.826,2.8,7472.0,1,private_rent,Rural,71.1,B,0
ECB-00181,39877.0,part_time,50-64,0.5,14.3,22847.0,0,mortgage,Galway,52.5,A,0
ECB-00182,32948.0,employed,25-34,0.29,6.9,6836.0,0,owner,Cork,76.2,A,0
ECB-00183,41227.0,employed,35-49,0.21,0.1,7389.0,0,private_rent,Rural,36.9,A,0
ECB-00184,13037.0,part_time,25-34,0.363,0.0,5433.0,0,owner,Dublin,69.7,A,0
ECB-00185,31112.0,self_employed,50-64,0.081,15.4,1628.0,0,social_rent,Rural,92.2,A,0
ECB-00186,23718.0,employed,25-34,0.548,16.1,7383.0,2,owner,Cork,64.1,A,0
ECB-00187,38352.0,employed,35-49,0.615,5.5,13596.0,0,private_rent,Galway,50.4,A,0
ECB-00188,24207.0,part_time,25-34,0.677,7.4,13828.0,0,social_rent,Cork,42.3,A,0
ECB-00189,48556.0,employed,35-49,0.191,0.0,4461.0,0,private_rent,Cork,75.0,A,0
ECB-00190,25660.0,unemployed,65+,0.696,17.5,8600.0,1,private_rent,Dublin,63.7,B,0
ECB-00191,63235.0,employed,35-49,0.678,8.4,23942.0,1,private_rent,Cork,67.0,A,1
ECB-00192,22472.0,employed,50-64,0.514,0.4,9038.0,1,owner,Cork,59.7,A,0
ECB-00193,38009.0,part_time,65+,0.293,14.6,11417.0,1,private_rent,Dublin,17.2,A,0
ECB-00194,49035.0,employed,50-64,0.405,1.3,15367.0,1,social_rent,Dublin,70.2,A,0
ECB-00195,40160.0,employed,25-34,0.186,11.4,7275.0,0,living_with_family,Galway,50.6,B,1
ECB-00196,46156.0,self_employed,50-64,0.341,2.9,17540.0,0,mortgage,Dublin,56.6,A,0
ECB-00197,31698.0,part_time,18-24,0.171,6.3,5103.0,1,mortgage,Rural,97.1,A,0
ECB-00198,34155.0,employed,35-49,0.399,5.1,11787.0,1,private_rent,Dublin,35.6,A,1
ECB-00199,38661.0,employed,50-64,0.32,0.0,4410.0,1,private_rent,Galway,33.0,B,1
ECB-00200,49254.0,part_time,35-49,0.278,13.7,9706.0,1,mortgage,Dublin,72.2,A,0
ECB-00201,12000.0,unemployed,35-49,0.444,14.0,3011.0,2,owner,Cork,56.1,B,0
ECB-00202,29335.0,employed,35-49,0.307,5.8,6844.0,0,owner,Galway,58.7,A,0
ECB-00203,45353.0,employed,50-64,0.454,9.9,22857.0,2,mortgage,Galway,72.9,A,1
ECB-00204,28036.0,employed,50-64,0.265,10.8,4509.0,0,owner,Cork,72.6,A,0
ECB-00205,21477.0,employed,35-49,0.058,10.9,596.0,0,owner,Cork,50.5,A,0
ECB-00206,39934.0,employed,50-64,0.336,17.5,13552.0,0,owner,Dublin,57.3,A,0
ECB-00207,89490.0,self_employed,25-34,0.143,10.7,14622.0,0,living_with_family,Cork,68.9,A,0
ECB-00208,45827.0,employed,25-34,0.417,6.6,18606.0,0,owner,Cork,71.0,A,0
ECB-00209,50532.0,employed,35-49,0.281,10.7,6550.0,0,owner,Galway,76.7,A,0
ECB-00210,17880.0,self_employed,65+,0.564,11.3,7966.0,0,mortgage,Cork,41.5,A,0
ECB-00211,56792.0,self_employed,25-34,0.406,3.0,15545.0,1,mortgage,Limerick,74.2,A,0
ECB-00212,48631.0,employed,25-34,0.545,14.8,22703.0,0,living_with_family,Cork,85.1,A,0
ECB-00213,21434.0,part_time,25-34,0.393,11.3,7452.0,2,social_rent,Dublin,68.8,A,1
ECB-00214,50565.0,self_employed,50-64,0.185,0.0,9310.0,1,mortgage,Dublin,66.1,A,1
ECB-00215,31211.0,part_time,25-34,0.391,4.9,6607.0,0,mortgage,Dublin,63.8,A,0
ECB-00216,28947.0,employed,35-49,0.694,12.4,22525.0,0,mortgage,Cork,56.9,A,1
ECB-00217,54140.0,employed,65+,0.612,5.4,17283.0,0,owner,Rural,35.1,A,0
ECB-00218,27970.0,unemployed,18-24,0.744,0.6,9344.0,3,mortgage,Limerick,62.6,A,1
ECB-00219,42084.0,employed,35-49,0.583,22.3,24856.0,0,owner,Cork,76.1,A,1
ECB-00220,28402.0,employed,35-49,0.164,6.8,3360.0,0,owner,Dublin,47.0,B,1
ECB-00221,43049.0,employed,50-64,0.03,14.1,959.0,0,private_rent,Rural,66.6,A,0
ECB-00222,68499.0,self_employed,25-34,0.737,16.3,30536.0,2,owner,Dublin,64.6,A,0
ECB-00223,12000.0,unemployed,35-49,0.178,3.8,826.0,1,owner,Cork,100.0,A,0
ECB-00224,54447.0,employed,25-34,0.562,9.9,15459.0,0,mortgage,Rural,76.0,B,0
ECB-00225,12000.0,unemployed,50-64,0.255,19.2,2937.0,2,mortgage,Cork,75.7,B,0
ECB-00226,46797.0,employed,50-64,0.173,10.9,4298.0,0,owner,Dublin,79.6,B,0
ECB-00227,36172.0,employed,25-34,0.194,20.8,8024.0,1,owner,Dublin,58.2,A,0
ECB-00228,36129.0,self_employed,35-49,0.094,5.2,3328.0,0,owner,Galway,92.8,A,0
ECB-00229,92540.0,employed,50-64,0.567,17.8,54032.0,0,mortgage,Dublin,70.9,A,0
ECB-00230,24733.0,employed,18-24,0.499,4.6,12951.0,0,private_rent,Galway,67.2,A,0
ECB-00231,52211.0,employed,25-34,0.483,6.8,23326.0,0,social_rent,Cork,41.1,B,0
ECB-00232,35571.0,unemployed,35-49,0.211,11.8,5425.0,2,mortgage,Dublin,60.8,A,0
ECB-00233,63480.0,self_employed,25-34,0.324,7.9,22265.0,1,mortgage,Dublin,36.2,A,0
ECB-00234,12000.0,unemployed,25-34,0.484,8.1,4014.0,3,private_rent,Rural,58.5,B,1
ECB-00235,16240.0,part_time,35-49,0.129,11.0,892.0,0,private_rent,Cork,57.6,A,0
ECB-00236,29924.0,employed,25-34,0.401,0.0,9926.0,0,owner,Limerick,55.8,B,0
ECB-00237,31040.0,part_time,35-49,0.313,4.3,4223.0,0,owner,Cork,43.1,A,0
ECB-00238,51621.0,employed,50-64,0.259,12.3,11699.0,1,mortgage,Dublin,80.7,A,0
ECB-00239,26311.0,employed,35-49,0.283,13.7,8545.0,0,private_rent,Cork,78.7,A,0
ECB-00240,19521.0,part_time,18-24,0.15,6.4,2614.0,2,owner,Cork,98.4,A,0
ECB-00241,20066.0,part_time,50-64,0.519,9.9,5394.0,1,mortgage,Cork,97.9,A,0
ECB-00242,42987.0,employed,25-34,0.52,10.6,10295.0,0,mortgage,Rural,70.8,A,0
ECB-00243,113904.0,employed,50-64,0.266,13.5,19250.0,0,mortgage,Rural,86.4,A,0
ECB-00244,30640.0,self_employed,35-49,0.206,1.1,2947.0,1,mortgage,Limerick,72.7,A,0
ECB-00245,16764.0,part_time,50-64,0.488,5.9,6586.0,0,private_rent,Galway,55.3,B,0
ECB-00246,28004.0,self_employed,25-34,0.092,8.1,2507.0,1,mortgage,Galway,63.0,A,0
ECB-00247,62069.0,employed,25-34,0.296,9.5,16122.0,0,mortgage,Galway,79.5,A,0
ECB-00248,45771.0,employed,35-49,0.112,0.0,4342.0,0,owner,Dublin,100.0,A,1
ECB-00249,28039.0,employed,18-24,0.211,0.0,4142.0,2,social_rent,Rural,84.0,B,0
ECB-00250,35646.0,self_employed,25-34,0.338,8.4,5882.0,0,mortgage,Rural,67.4,B,0
ECB-00251,18223.0,part_time,50-64,0.605,13.8,9489.0,0,owner,Dublin,71.7,B,0
ECB-00252,47944.0,employed,50-64,0.375,6.3,12335.0,1,mortgage,Rural,71.5,B,0
ECB-00253,156056.0,employed,18-24,0.254,1.0,23539.0,1,private_rent,Rural,66.4,A,0
ECB-00254,59748.0,employed,50-64,0.151,11.2,7904.0,1,private_rent,Cork,81.6,A,0
ECB-00255,27726.0,part_time,50-64,0.622,6.8,11266.0,1,social_rent,Rural,65.2,A,0
ECB-00256,19290.0,part_time,50-64,0.1,13.1,939.0,0,private_rent,Dublin,44.8,B,0
ECB-00257,25475.0,employed,35-49,0.61,7.3,11448.0,0,mortgage,Dublin,76.7,A,0
ECB-00258,64871.0,employed,35-49,0.2,2.7,7556.0,0,mortgage,Cork,79.1,A,0
ECB-00259,56974.0,self_employed,35-49,0.439,15.9,23411.0,0,owner,Galway,60.4,B,0
ECB-00260,34026.0,employed,35-49,0.338,14.9,4453.0,1,private_rent,Cork,68.6,B,0
ECB-00261,44918.0,part_time,50-64,0.425,3.5,19729.0,0,private_rent,Rural,80.3,B,0
ECB-00262,47075.0,employed,25-34,0.421,10.6,14251.0,0,owner,Dublin,67.1,A,0
ECB-00263,66081.0,employed,25-34,0.358,6.8,8592.0,0,social_rent,Dublin,60.0,A,0
ECB-00264,18647.0,unemployed,18-24,0.376,7.7,3204.0,1,mortgage,Galway,55.2,A,0
ECB-00265,43057.0,employed,65+,0.097,8.9,4615.0,0,owner,Dublin,47.4,A,0
ECB-00266,30342.0,employed,35-49,0.646,13.0,15274.0,0,mortgage,Limerick,95.6,A,1
ECB-00267,43674.0,employed,35-49,0.369,14.7,15563.0,0,social_rent,Cork,64.4,A,0
